LPF;1;25833;0.101018
LPF;2;11368;0.101032
LPF;3;11359;0.103419
moogHalfLadder;0;454227;1.3172
moogHalfLadder;1;420998;1.35872
moogHalfLadder;2;373075;1.31714
moogHalfLadder;3;349666;1.3195
moogLadder;0;343206;1.0769
moogLadder;1;309110;1.13058
moogLadder;2;280691;1.06437
moogLadder;3;274662;1.09295
moogVCF;0;6399691;2.68109
moogVCF;1;7403019;2.60356
moogVCF;2;5567787;2.66948
moogVCF;3;5863928;2.58167
multibandFilter;0;44133735;0.533031
multibandFilter;1;37585809;0.522301
multibandFilter;2;39773849;0.519514
multibandFilter;3;39014080;0.493827
notch;0;14148;0.101575
notch;1;21021;0.104209
notch;2;6654;0.10156
notch;3;6548;0.104228
oberheimBPF;0;95914;1.12536
oberheimBPF;1;153521;1.11796
oberheimBPF;2;100641;1.14599
oberheimBPF;3;90486;1.14555
oberheimBSF;0;101335;1.13534
oberheimBSF;1;159490;1.14316
oberheimBSF;2;103095;1.15377
oberheimBSF;3;92561;1.14117
oberheim;0;131944;1.16767
oberheim;1;199678;1.21467
oberheim;2;120778;1.15516
oberheim;3;113895;1.19219
oberheimHPF;0;100369;1.05535
oberheimHPF;1;155130;1.11276
oberheimHPF;2;101742;1.12628
oberheimHPF;3;91505;1.09198
oberheimLPF;0;96712;1.09137
oberheimLPF;1;157738;1.14652
oberheimLPF;2;101947;1.11835
oberheimLPF;3;91573;1.14702
parametricEqLab;0;1875301235;21.0679
parametricEqLab;1;458108870;19.2538
parametricEqLab;2;31333854;20.7587
parametricEqLab;3;4145757372;20.4347
parametricEqualizer;0;3006715;1.6867
parametricEqualizer;1;2930097;1.69298
parametricEqualizer;2;2406953;1.74445
parametricEqualizer;3;2384500;1.69478
peakingEQ;0;37091;0.09324
peakingEQ;1;47555;0.093266
peakingEQ;2;20255;0.093271
peakingEQ;3;22094;0.093265
peakNotch;0;35315;0.093266
peakNotch;1;44066;0.09327
peakNotch;2;19475;0.093247
peakNotch;3;20656;0.09326
sallenKey2ndOrderBPF;0;102609;1.01033
sallenKey2ndOrderBPF;1;118892;1.01038
sallenKey2ndOrderBPF;2;72820;1.02216
sallenKey2ndOrderBPF;3;67379;1.00931
sallenKey2ndOrder;0;125711;1.05357
sallenKey2ndOrder;1;144275;1.03162
sallenKey2ndOrder;2;84444;1.01783
sallenKey2ndOrder;3;81425;1.04173
sallenKey2ndOrderHPF;0;105702;0.997631
sallenKey2ndOrderHPF;1;119766;1.00744
sallenKey2ndOrderHPF;2;73476;1.01784
sallenKey2ndOrderHPF;3;68063;1.00653
